Geneid;Length;CBB;DZX;GCY;YXH;XCY;XZY;Control_ZCY;Control_ZJC;Control_QZY
ENSG00000162441;5459;927;937;916;918;933;1086;1212;1118;1270
ENSG00000230021;5495;17;26;20;41;51;27;18;14;4
ENSG00000271264;246;2;4;0;2;1;0;0;0;0
ENSG00000287356;5794;114;66;90;52;46;68;41;97;29
ENSG00000224387;455;9;2;4;2;0;1;0;0;0
ENSG00000187017;6952;2192;136;782;137;79;102;574;393;558
ENSG00000285629;663;1;0;0;1;1;0;0;1;0
ENSG00000173673;710;1;1;1;1;0;0;0;3;2
ENSG00000227372;9701;2581;1370;1582;1337;1627;1458;1262;1623;1020
ENSG00000142583;6632;44;194;175;121;162;151;103;215;117
ENSG00000223663;367;0;1;0;0;1;1;2;1;0
ENSG00000107404;3882;2993;2173;2045;2009;1882;2297;3137;3307;3058
ENSG00000284674;1580;0;0;0;0;0;0;0;0;1
ENSG00000177000;11513;1174;859;711;817;684;834;574;884;562
ENSG00000272161;493;4;10;6;4;5;6;0;1;1
ENSG00000237094;6204;54;51;40;62;41;21;17;33;2
ENSG00000069424;17329;139;210;145;271;223;181;139;266;214
ENSG00000224338;565;0;0;0;0;0;0;0;0;0
ENSG00000074800;5216;11605;11006;6172;9799;10633;10915;15459;17380;26849
ENSG00000234546;2141;38;3;36;8;7;10;14;8;12
ENSG00000116786;4134;1779;1386;1303;1199;1418;1410;1523;2063;1581
ENSG00000287727;2876;68;40;41;55;80;52;39;17;1
ENSG00000176022;2805;624;382;460;418;345;316;756;818;773
ENSG00000223989;424;0;0;0;0;0;0;0;0;0
ENSG00000228423;353;14;15;25;21;29;18;21;5;0
ENSG00000286448;736;0;0;0;0;0;1;0;0;0
ENSG00000162496;3515;502;975;644;711;1208;1101;981;1746;569
ENSG00000237365;349;2;0;1;1;1;2;0;0;1
ENSG00000131686;2662;0;4;1;0;0;0;3;2;5
ENSG00000229305;1075;0;0;1;1;0;1;0;0;0
ENSG00000284703;4817;1;3;1;2;3;2;1;4;1
ENSG00000226457;381;3;2;5;4;4;5;1;2;0
ENSG00000162494;2168;4;71;115;38;244;146;32;52;76
ENSG00000173614;4610;342;251;247;266;255;261;297;264;352
ENSG00000248527;681;3523;2138;2237;1395;2346;1732;1865;1916;2172
ENSG00000237728;744;3;2;2;2;1;1;0;0;0
ENSG00000215720;710;4;3;9;2;3;6;2;0;0
ENSG00000279804;2067;0;0;0;1;0;0;0;2;0
ENSG00000116273;3632;2230;1726;2043;2040;1762;1885;3452;5771;2559
ENSG00000241326;436;0;0;0;0;0;0;0;0;0
ENSG00000285701;762;18;18;13;23;25;3;8;2;1
ENSG00000233623;680;5;2;6;5;6;8;4;0;0
ENSG00000162592;4238;106;110;126;120;116;162;120;86;93
ENSG00000116254;10094;194;320;218;456;23;152;686;1336;161
ENSG00000049245;2733;1678;1381;1531;1271;1399;1449;1940;2263;2087
ENSG00000179743;2473;143;146;157;159;193;181;170;236;186
ENSG00000233645;477;0;0;0;0;0;0;0;0;2
ENSG00000234064;1139;0;0;0;0;0;0;0;0;0
ENSG00000204624;6120;16;19;20;35;3;10;30;78;6
ENSG00000284708;2094;1;0;0;0;1;1;0;0;0
ENSG00000171603;5241;4166;3883;3639;4122;3663;4795;4530;5627;3712
ENSG00000280113;1983;11;4;0;3;3;4;3;0;0
ENSG00000142606;3870;6;6;3;8;2;9;16;33;10
ENSG00000235146;635;0;0;0;0;0;0;0;0;0
ENSG00000177674;2435;360;347;337;302;251;344;644;546;831
ENSG00000162572;4025;1262;886;1153;591;670;685;296;280;145
ENSG00000171608;6333;183;290;310;369;161;307;548;799;281
ENSG00000225931;1297;2;3;3;1;2;4;6;5;1
ENSG00000236601;1095;0;0;0;0;0;0;0;0;0
ENSG00000171729;2238;172;178;372;178;220;312;643;409;432
ENSG00000228150;440;4;3;9;7;12;6;5;2;5
ENSG00000175262;3573;22;15;9;19;1;12;33;141;23
ENSG00000279457;1397;156;191;192;162;67;100;112;107;98
ENSG00000162571;3998;2;4;1;4;1;0;4;5;2
ENSG00000231181;559;7;15;5;7;12;10;5;8;0
ENSG00000238173;150;0;0;0;0;1;0;0;0;0
ENSG00000158109;2401;724;1036;977;989;994;1037;1634;2385;1970
ENSG00000229393;514;8;1;5;1;0;1;0;0;0
ENSG00000269978;267;19;30;20;38;26;45;12;5;11
ENSG00000037637;9009;960;612;677;700;691;797;802;1012;823
ENSG00000184163;1794;23;35;19;34;7;18;47;65;24
ENSG00000287586;3225;0;2;0;1;0;1;1;1;0
ENSG00000159423;3632;183;174;147;140;100;127;241;398;255
ENSG00000142599;14112;4326;3218;3493;3806;3582;3556;4226;5336;1861
ENSG00000227169;356;0;0;0;0;0;0;0;0;0
ENSG00000283356;135;0;0;0;0;0;0;0;0;0
ENSG00000011021;8173;1279;1336;1013;1165;1185;1003;1149;1170;576
ENSG00000272482;345;16;17;22;15;19;14;14;38;7
ENSG00000284747;4116;22;18;19;11;23;20;19;13;4
ENSG00000215912;8814;126;92;114;91;96;89;43;35;9
ENSG00000120952;1642;0;0;2;0;0;1;0;0;1
ENSG00000243073;1840;0;0;0;0;0;0;1;0;0
ENSG00000142615;1519;5;2;2;0;0;1;2;3;6
ENSG00000215704;1449;29;9;13;7;13;11;8;7;12
ENSG00000065526;14336;2704;2871;3298;3339;3425;3999;2109;2549;723
ENSG00000175756;1669;709;521;842;513;537;516;1115;1288;1828
ENSG00000229484;438;1;0;0;0;1;1;0;0;1
ENSG00000157916;5689;1579;1450;1602;1258;1350;1385;1708;1886;1907
ENSG00000157881;5072;637;509;459;570;478;503;564;612;654
ENSG00000116213;7634;459;462;470;345;352;350;367;332;348
ENSG00000283611;444;3;7;4;11;8;7;0;0;1
ENSG00000238290;2044;3;2;3;5;4;3;2;5;9
ENSG00000225387;491;0;1;0;0;0;2;4;0;0
ENSG00000127463;9602;2447;1737;2321;1896;2305;2045;1942;2105;1403
ENSG00000048707;20768;2814;1988;2402;2460;2508;2521;1826;2505;1019
ENSG00000158748;3800;12;5;11;4;5;6;3;11;0
ENSG00000235643;1351;3;35;10;15;4;14;70;83;56
ENSG00000225196;316;0;0;1;0;0;0;0;0;0
ENSG00000130762;5324;1035;2119;2262;1393;1033;1004;712;1272;912
ENSG00000187144;4506;4;3;11;4;4;4;4;6;0
ENSG00000162444;862;15;15;26;8;15;19;27;39;45
ENSG00000279169;2442;0;0;0;0;0;0;0;0;0
ENSG00000279625;1853;0;0;0;0;0;0;1;0;0
ENSG00000180758;5304;392;280;484;317;352;380;562;480;796
ENSG00000231219;1068;0;0;0;0;0;0;0;0;0
ENSG00000229010;818;3;2;4;10;4;5;2;0;0
ENSG00000184677;9169;1480;1538;1575;1734;1851;2091;1530;1829;1040
ENSG00000230679;456;2;6;7;6;4;4;4;8;3
ENSG00000270136;1276;0;0;1;0;0;0;0;0;0
ENSG00000132879;3527;302;225;247;192;136;238;301;252;311
ENSG00000187545;1525;0;0;0;1;0;0;0;0;0
ENSG00000288398;2662;117;99;91;93;106;102;147;188;129
ENSG00000224621;544;3;4;3;2;4;2;2;6;0
ENSG00000239810;1845;0;0;0;1;0;1;0;1;1
ENSG00000285833;1051;0;0;3;0;0;0;0;0;0
ENSG00000224459;639;1;0;0;0;0;0;0;0;0
ENSG00000116731;10923;1888;1378;1802;1662;1900;1852;1422;1638;925
ENSG00000116721;2439;1;0;0;0;0;0;0;0;0
ENSG00000215785;494;6;1;4;3;2;1;0;6;1
ENSG00000131697;13167;381;392;299;318;312;341;381;495;276
ENSG00000284692;2316;0;0;0;0;0;0;0;1;0
ENSG00000284745;1654;0;0;0;1;0;0;2;3;2
ENSG00000225952;480;2;2;3;10;7;3;0;1;0
ENSG00000280222;6473;2;2;0;1;1;1;0;2;1
ENSG00000088280;4988;913;1352;1119;1054;1277;1424;1146;1510;1235
ENSG00000188807;6981;1150;1013;1114;1126;1271;1395;1430;1593;856
ENSG00000284693;2623;46;21;40;21;29;36;37;42;34
ENSG00000232298;856;1;2;5;3;5;3;0;4;0
ENSG00000227634;1001;0;0;0;2;0;0;1;2;2
ENSG00000225315;454;22;14;8;10;11;10;1;2;1
ENSG00000198793;12163;1867;1534;1403;1837;1288;1348;1911;2876;1107
ENSG00000078900;6767;24;23;15;23;10;17;35;52;17
ENSG00000142661;9214;3708;2451;3185;2922;2406;2828;4277;3051;2076
ENSG00000285945;593;1;0;0;0;0;0;0;0;0
ENSG00000171819;2224;6;8;8;6;14;7;3;5;2
ENSG00000229162;820;0;2;1;2;0;1;1;8;0
ENSG00000197921;1324;4;10;7;22;4;8;16;44;24
ENSG00000233755;863;0;0;0;1;0;0;0;0;0
ENSG00000116288;2397;1676;1569;1508;1300;1255;1302;2311;3074;3916
ENSG00000238164;6137;19;13;10;3;1;7;3;17;2
ENSG00000233929;186;3;1;3;3;3;3;2;7;0
ENSG00000287810;177;0;1;2;0;0;0;0;8;0
ENSG00000271742;256;1;1;1;0;1;0;3;0;0
ENSG00000142677;2817;15;9;13;6;5;4;15;14;7
ENSG00000131910;1165;6;2;6;12;25;14;9;6;8
ENSG00000185436;4940;50;24;56;43;16;30;61;50;38
ENSG00000131914;3975;4;11;29;22;5;9;17;28;16
ENSG00000226396;455;18;13;19;14;21;11;29;5;15
ENSG00000232423;1784;0;0;1;0;0;1;0;1;2
ENSG00000229247;238;0;0;0;0;0;0;0;0;0
ENSG00000169504;4467;1339;1525;1312;1331;1177;1394;2464;2093;2790
ENSG00000224311;379;1;0;1;0;0;0;0;0;0
ENSG00000225159;867;2;0;2;0;3;1;0;2;3
ENSG00000260063;2000;10;9;13;12;2;8;12;10;9
ENSG00000272088;382;2;4;3;3;1;4;0;0;0
ENSG00000228338;378;0;0;0;0;0;0;0;0;0
ENSG00000270728;525;86;66;74;70;77;65;75;87;43
ENSG00000169641;9658;466;427;399;501;459;507;393;653;395
ENSG00000181773;2137;3;4;9;10;3;3;4;6;7
ENSG00000175707;1855;25;45;22;41;34;36;98;115;51
ENSG00000241547;468;16;7;14;12;14;3;2;5;0
ENSG00000224129;897;0;0;1;0;0;0;0;1;0
ENSG00000234166;439;0;0;0;0;0;0;0;0;0
ENSG00000230228;368;0;1;1;1;0;0;0;0;0
ENSG00000237436;415;10;9;6;12;5;9;8;12;17
ENSG00000233954;2180;47;75;50;62;94;81;51;39;53
ENSG00000174950;1994;1;16;25;10;16;7;27;25;7
ENSG00000235282;266;0;0;0;0;0;0;0;0;0
ENSG00000055070;4742;1486;1239;1541;1242;1408;1590;2268;2947;2549
ENSG00000225891;1261;120;109;149;110;157;142;74;37;10
ENSG00000175087;4560;267;267;305;338;292;281;306;316;213
ENSG00000171735;9903;1132;1375;1318;1658;1687;1416;1401;1130;1199
ENSG00000157191;5510;1223;843;1185;988;1126;1232;1581;1939;2207
ENSG00000270733;358;4;0;0;2;0;1;0;3;3
ENSG00000284699;886;1;0;0;1;0;0;2;1;0
ENSG00000133226;7922;2604;2761;3027;2602;2877;2867;2499;2869;1605
ENSG00000229985;527;0;0;0;0;0;0;0;0;0
ENSG00000162482;1215;66;60;60;57;58;59;24;47;23
ENSG00000230035;430;0;0;0;0;0;0;0;0;0
ENSG00000235185;207;1;0;0;2;0;0;0;0;0
ENSG00000236782;2073;5;12;18;14;9;14;7;20;10
ENSG00000215910;6499;8;8;7;10;0;3;19;64;14
ENSG00000116663;1735;37;37;34;33;30;53;98;86;85
ENSG00000225643;483;5;2;4;2;4;1;3;6;0
ENSG00000215695;1854;0;0;0;0;0;0;0;0;0
ENSG00000284666;609;0;0;0;0;0;0;0;0;0
ENSG00000243659;282;6;13;14;12;15;16;15;9;5
ENSG00000240553;666;0;0;1;0;0;2;0;1;0
ENSG00000228943;235;0;0;0;0;0;0;1;0;0
ENSG00000215906;1641;0;0;0;0;0;0;0;0;0
ENSG00000230703;461;10;6;9;2;6;5;0;2;3
ENSG00000188822;5265;1;1;2;4;0;1;0;2;4
ENSG00000232848;800;0;0;0;0;0;0;0;0;0
ENSG00000234397;492;0;0;0;0;0;0;0;0;0
ENSG00000090273;2848;1633;1416;1519;1439;1421;1366;2461;3229;3063
ENSG00000284309;941;0;0;0;0;0;0;0;1;0
ENSG00000227868;660;1;2;0;5;1;2;6;4;7
ENSG00000269925;393;41;37;19;32;29;23;29;2;5
ENSG00000142751;4966;712;644;687;616;745;663;714;997;648
ENSG00000189266;2763;3051;2792;3032;2491;2712;3244;2831;2067;3120
ENSG00000162511;3228;152;95;90;106;85;136;98;183;413
ENSG00000158014;3483;1;1;3;1;0;2;1;16;1
ENSG00000204138;7317;1732;1303;1878;1389;1622;1544;1938;1948;1460
ENSG00000233419;402;1;0;0;0;0;0;0;0;0
ENSG00000235263;708;0;0;0;0;1;2;0;0;0
ENSG00000228176;498;0;0;0;0;0;0;0;0;0
ENSG00000229106;1267;0;0;0;1;0;0;0;0;0
ENSG00000236155;3191;93;71;104;46;75;68;58;23;31
ENSG00000231251;93;0;0;0;0;0;1;0;0;0
ENSG00000142675;3960;115;203;202;127;72;126;159;115;162
ENSG00000197245;2799;9;23;27;8;11;13;20;37;24
ENSG00000231949;481;0;0;0;0;0;0;0;0;0
ENSG00000261025;2443;0;0;0;0;0;0;0;3;2
ENSG00000116237;4910;1066;714;664;632;651;645;903;1174;1087
ENSG00000158195;5681;3979;3741;4232;4135;4154;4405;5531;6939;4972
ENSG00000130772;2017;294;230;287;244;217;228;424;519;608
ENSG00000215899;1342;0;0;0;0;0;0;0;0;0
ENSG00000237429;283;9;4;6;9;5;6;2;3;0
ENSG00000271398;425;0;0;1;0;0;1;0;3;1
ENSG00000225011;349;0;0;0;0;0;0;0;0;0
ENSG00000215905;328;0;0;0;0;0;0;0;0;0
ENSG00000240731;386;175;213;201;170;164;181;43;30;9
ENSG00000235069;235;0;0;0;0;0;0;0;0;0
ENSG00000172746;497;0;0;0;1;0;0;1;0;0
ENSG00000284676;1953;0;0;0;0;0;0;0;0;0
ENSG00000237058;373;1;3;0;0;0;0;3;5;8
ENSG00000204160;5460;385;393;326;384;282;352;650;804;406
ENSG00000233399;1519;0;0;0;0;0;0;0;0;0
ENSG00000090020;6195;507;336;394;423;333;392;496;525;372
ENSG00000225990;220;0;0;0;0;0;0;0;0;0
ENSG00000157978;5371;320;310;302;362;226;295;602;785;366
ENSG00000226944;378;1;3;0;4;4;0;1;4;2
ENSG00000158246;2382;12;24;26;54;2;15;75;98;45
ENSG00000270282;369;9;8;4;7;6;6;4;0;1
ENSG00000130770;2225;811;757;737;640;865;782;761;648;1326
ENSG00000117305;5628;873;513;577;419;490;560;780;762;1052
ENSG00000235131;351;1;0;0;0;0;0;1;0;0
ENSG00000229044;439;2;1;0;0;3;4;1;1;0
ENSG00000162512;7065;461;191;275;188;202;309;307;293;602
ENSG00000179840;1823;1;0;1;0;1;0;0;2;3
ENSG00000272449;1531;5;14;9;11;4;7;15;26;6
ENSG00000214973;640;1;0;0;2;0;1;0;1;0
ENSG00000198746;2226;263;214;222;258;196;276;378;492;438
ENSG00000158006;3795;311;255;342;231;263;261;277;365;379
ENSG00000188529;11860;3386;3060;3517;3075;3419;3586;2551;1862;1972
ENSG00000214812;557;0;0;0;0;0;0;1;0;0
ENSG00000142784;5911;1478;1392;1523;1568;1816;1862;1844;1927;1143
ENSG00000230023;1849;1;0;0;1;0;1;0;2;0
ENSG00000227950;286;6;1;6;4;5;4;2;0;0
ENSG00000117682;5608;755;633;651;607;714;650;699;769;563
ENSG00000175793;1308;3;1;4;1;0;3;1;14;1
ENSG00000126698;2892;911;886;959;803;830;961;1233;1321;1709
ENSG00000229447;437;9;11;8;8;15;20;8;2;0
ENSG00000229607;444;0;0;0;0;0;0;0;0;1
ENSG00000229994;886;15;27;21;22;32;16;7;5;3
ENSG00000130766;3462;652;712;681;817;684;772;1030;1517;1392
ENSG00000168528;3452;63;82;87;90;19;59;269;189;85
ENSG00000196581;12528;47;64;38;57;15;37;84;150;47
ENSG00000169403;4208;47;42;30;41;17;38;48;72;118
ENSG00000117676;5884;532;386;643;470;251;353;673;656;827
ENSG00000198830;3189;3750;3475;3906;3245;3512;4721;4552;6141;8551
ENSG00000225126;361;10;1;4;5;3;4;1;3;2
ENSG00000084628;3320;9;11;8;7;1;2;23;19;2
ENSG00000060688;3887;609;539;456;508;470;544;779;1074;1077
ENSG00000236335;507;1;0;0;0;0;0;0;0;0
ENSG00000171612;3865;137;117;87;143;93;119;247;328;216
ENSG00000241169;428;9;5;7;8;11;9;2;0;1
ENSG00000278572;899;0;0;0;0;0;0;0;0;0
ENSG00000227001;661;2;29;18;3;14;23;17;47;31
ENSG00000270927;493;0;0;0;0;0;0;0;0;0
ENSG00000226698;306;0;0;0;0;0;0;0;0;0
ENSG00000284744;987;0;0;2;0;0;0;0;0;0
ENSG00000162458;4351;518;317;346;317;274;441;355;554;912
ENSG00000188910;2362;3;1;0;2;2;3;3;8;1
ENSG00000230523;2148;1;2;2;3;0;1;2;1;2
ENSG00000186056;4024;19;13;9;8;12;16;10;7;7
ENSG00000116138;8563;606;445;497;489;508;442;547;555;419
ENSG00000231207;355;0;0;0;1;0;0;0;1;0
ENSG00000142765;5584;8;16;10;16;8;4;19;42;20
ENSG00000158161;6424;922;823;837;866;881;866;851;850;681
ENSG00000270330;355;0;0;0;0;0;0;0;0;0
ENSG00000142684;732;0;0;0;0;0;0;0;0;0
ENSG00000060642;5872;520;309;390;353;334;381;461;542;530
ENSG00000224064;397;0;0;1;0;0;0;0;0;0
ENSG00000234619;658;9;7;6;11;7;6;1;1;1
ENSG00000121769;1398;387;129;226;82;112;184;297;169;453
ENSG00000236963;4303;1;3;4;0;0;4;1;4;4
ENSG00000232557;210;0;0;1;0;1;0;2;0;0
ENSG00000157330;4133;1;0;0;2;0;2;1;0;0
ENSG00000162413;6901;1614;1335;1536;1490;1726;1832;1732;2548;1344
ENSG00000142627;4141;156;433;221;311;278;288;343;507;189
ENSG00000284668;1835;7;3;2;8;2;0;14;40;7
ENSG00000233234;607;0;0;0;0;0;0;2;9;0
ENSG00000142632;3788;48;107;71;65;76;65;106;173;92
ENSG00000234593;2858;9;30;6;22;1;8;23;47;14
ENSG00000162490;7365;12;31;16;48;7;14;101;96;31
ENSG00000158292;4198;209;150;124;156;91;170;232;193;260
ENSG00000270605;1945;93;75;66;51;69;46;39;24;18
ENSG00000238199;437;4;4;3;3;5;0;1;1;0
ENSG00000142733;5746;225;90;105;64;43;61;120;85;157
ENSG00000189337;13860;249;223;183;208;164;214;151;223;230
ENSG00000270601;1720;0;0;0;0;0;0;0;0;0
ENSG00000233268;421;1;0;1;0;0;0;0;0;0
ENSG00000232912;1178;19;8;12;19;13;15;5;2;3
ENSG00000235084;447;10;4;10;6;11;15;12;17;12
ENSG00000235143;1747;0;0;0;0;0;0;0;0;0
ENSG00000225478;223;0;1;0;0;0;0;0;0;0
ENSG00000225077;2358;3;7;4;2;1;1;10;17;2
ENSG00000028137;3778;148;116;116;128;106;167;135;219;255
ENSG00000223944;3153;0;0;1;0;1;0;1;5;0
ENSG00000238249;743;0;0;0;0;0;1;0;2;1
ENSG00000187952;1234;17;16;27;18;15;17;28;47;16
ENSG00000237938;1533;39;30;35;31;34;30;19;7;6
ENSG00000227409;459;0;4;11;2;5;9;2;0;0
ENSG00000204464;559;5;3;8;5;5;2;2;4;2
ENSG00000233372;551;0;0;0;0;0;0;0;0;0
ENSG00000162460;1443;1;1;1;0;0;0;0;1;1
ENSG00000283259;1565;2;1;1;0;0;0;0;0;0
ENSG00000142687;9619;1732;1430;1709;1577;1707;1750;1784;2145;1407
ENSG00000284543;9848;1;10;1;4;0;5;4;4;2
ENSG00000223382;2111;1;0;0;0;0;0;0;0;1
ENSG00000226166;112;0;0;0;0;0;0;0;0;0
ENSG00000130939;9237;2056;2075;2290;2176;2442;2512;2177;2504;1622
ENSG00000236216;376;0;1;0;2;0;0;0;1;0
ENSG00000175147;11973;34;24;51;25;29;61;66;43;17
ENSG00000236266;830;13;8;16;11;8;9;12;7;1
ENSG00000127472;3342;475;157;273;193;161;200;179;316;457
ENSG00000231103;1417;0;0;1;0;0;0;0;0;0
ENSG00000060656;6682;114;226;161;252;63;162;472;820;265
ENSG00000163867;9568;339;317;392;268;324;341;250;204;217
ENSG00000232768;163;5;0;12;6;12;6;1;1;0
ENSG00000225294;444;0;0;0;0;0;0;0;0;0
ENSG00000230214;523;0;0;0;0;0;0;0;0;0
ENSG00000189280;1355;1;2;2;0;1;0;1;0;1
ENSG00000134698;7423;832;1019;885;964;1164;1016;820;798;512
ENSG00000226487;376;0;0;0;0;0;0;0;0;0
ENSG00000134690;2406;95;96;82;127;69;72;150;196;118
ENSG00000272420;568;4;4;8;3;4;10;3;2;0
ENSG00000224333;1007;3;0;0;1;0;0;0;0;0
ENSG00000226664;229;0;0;0;0;0;0;0;0;0
ENSG00000132881;1574;101;82;81;81;81;90;113;129;98
ENSG00000273274;12831;43;39;41;61;44;47;41;46;28
ENSG00000224321;490;1;1;0;1;1;1;0;1;2
ENSG00000233621;3019;21;15;34;14;18;21;19;50;47
ENSG00000228940;921;0;0;0;0;0;0;0;0;0
ENSG00000116251;4665;1095;1644;1465;1236;1330;1708;1651;1920;2871
ENSG00000272510;346;2;0;0;2;1;0;0;0;0
ENSG00000158286;6595;84;306;122;159;216;206;78;83;36
ENSG00000236648;1328;0;0;1;0;0;1;2;2;1
ENSG00000232273;532;3;5;6;2;4;2;4;2;0
ENSG00000237276;1990;31;26;42;21;23;17;38;2;4
ENSG00000227959;904;1;2;1;10;3;4;1;3;0
ENSG00000009709;6473;3;10;6;10;0;4;9;18;7
ENSG00000043514;6533;362;263;337;256;279;289;271;236;236
ENSG00000186543;830;0;0;0;9;0;0;3;2;0
ENSG00000287396;663;6;11;14;27;1;6;54;84;31
ENSG00000231789;939;1;2;2;2;1;9;4;7;13
ENSG00000162510;4604;2;10;1;9;3;6;9;14;4
ENSG00000179002;2542;0;1;1;1;0;0;1;11;0
ENSG00000223589;340;0;0;0;0;0;0;0;6;0
ENSG00000188984;4055;0;0;0;1;0;0;0;0;1
ENSG00000229259;1801;1;1;2;0;2;0;0;0;0
ENSG00000270171;1721;23;40;23;46;32;61;32;17;10
ENSG00000158008;4542;42;15;20;22;27;23;11;22;21
ENSG00000269732;363;0;0;0;0;0;0;0;0;0
ENSG00000130940;11336;41;57;53;77;24;37;170;254;39
ENSG00000116771;3095;18;13;14;14;8;10;21;29;24
ENSG00000237301;2845;8;7;5;12;1;12;11;18;3
ENSG00000162585;10916;688;590;549;485;488;508;533;630;1002
ENSG00000163879;4456;431;172;296;218;163;178;435;382;377
ENSG00000227527;661;6;3;9;7;7;2;17;3;7
ENSG00000127129;1649;8;2;9;6;0;2;11;8;5
ENSG00000228823;649;0;0;0;0;0;0;0;0;0
ENSG00000010803;4447;747;609;660;682;526;607;843;890;570
ENSG00000229901;394;24;25;30;17;40;22;13;16;3
ENSG00000169991;6179;365;753;554;878;786;605;919;796;753
ENSG00000116954;5116;306;232;266;207;287;312;440;449;568
ENSG00000117013;4408;15;31;22;30;14;17;40;58;16
ENSG00000228589;681;17;9;9;9;10;10;10;17;24
ENSG00000163873;10497;2407;943;1746;773;1345;969;1226;1941;272
ENSG00000233431;821;0;0;0;1;0;0;0;0;0
ENSG00000117215;2681;1;1;0;1;0;0;2;1;3
ENSG00000223583;535;22;12;33;14;27;19;11;2;1
ENSG00000196449;1848;213;209;185;217;152;177;421;587;382
ENSG00000250575;1239;3;2;0;4;1;0;0;1;2
ENSG00000237700;1518;0;0;0;0;0;0;0;0;0
ENSG00000253368;1979;5;12;21;26;27;24;47;45;37
ENSG00000179862;1310;255;317;250;550;390;465;586;631;742
ENSG00000116661;3163;59;39;23;43;6;35;88;163;73
ENSG00000230163;720;0;0;0;0;0;0;0;0;0
ENSG00000287400;4437;1;1;1;1;1;5;7;2;3
ENSG00000227538;1133;0;0;0;0;0;0;0;0;0
ENSG00000232208;352;0;0;0;0;0;0;0;0;0
ENSG00000162461;3338;229;293;237;175;193;264;164;78;51
ENSG00000236500;225;0;1;0;0;0;3;0;0;0
ENSG00000044012;604;0;2;0;0;0;0;0;0;1
ENSG00000179051;4079;1457;2102;2384;2370;2386;2394;2857;3452;2364
ENSG00000215895;1960;1;3;3;1;2;1;11;10;1
ENSG00000231868;351;126;1;43;8;5;2;8;2;1
ENSG00000284650;1039;0;1;0;0;0;0;4;2;1
ENSG00000237329;507;9;7;8;7;6;7;4;4;0
